EXTRACTDATE,ORGANISATIONURI,ORGANISATIONLABEL,SERVICETYPEURI,SERVICETYPELABEL,LOCATIONTEXT,COORDINATEREFERENCESYSTEM,GEOX,GEOY,GEOPOINTLICENSINGURL,CATEGORY,ACCESSIBLECATEGORY,RADARKEYNEEDED,BABYCHANGE,FAMILYTOILET,CHANGINGPLACE,AUTOMATICPUBLICCONVENIENCE,FULLTIMESTAFFING,PARTOFCOMMUNITYSCHEME,COMMUNITYSCHEMENAME,CHARGEAMOUNT,INFOURL,OPENINGHOURS,MANAGEDBY,REPORTEMAIL,REPORTTEL,NOTES,UPRN,POSTCODE,STREETADDRESS,GEOAREAURL,GEOAREALABEL
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,BOTWELL GREEN LIBRARY  EAST AVENUE HAYES UB3 3HW,OSGB36,509898,180007,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo-We 09:00-19:00 ; Th 09:00-20:00 ;  Fr 09:00-19:00 ;  Sa 09:00-17:00 ; Su 10:00-13:00,,contactcentre1@hillingdon.gov.uk,01895 250111,,10022805611,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,CENTRAL LIBRARY 13-14 HIGH STREET UXBRIDGE UB8 1HD,OSGB36,505618,184018,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo-Th 08:00-20:00 ; Fr 08:00-17:30 ; Sa 09:00-17:30 ; Su 11:00-17:00,,contactcentre1@hillingdon.gov.uk,01896 250111,,100023421562,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,CHARVILLE LIBRARY (KINGSHILL)  BURY AVENUE HAYES UB4 8LF,OSGB36,509168,182968,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo 09:30-19:00 ; Tu-We 09:30-17:30 ; Th 09:30-19:00 ;  Fr 09:30-17:30 ; Sa 09:30-16:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01895 250111,,100023417465,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,EASTCOTE LIBRARY  FIELD END ROAD PINNER HA5 1RL,OSGB36,510918,188047,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo-We 09:30-18:00 ; Th 09:30-19:00 ; Fr 09:30-17:30 ; Sa 09:00-16:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01895 250111,,100023034643,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,HAREFIELD LIBRARY  PARK LANE UXBRIDGE UB9 6BJ,OSGB36,505159,190598,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo-We 09:00-18:00 ; Th 09:00-19:00 ;  Fr 09:00-18:00 ;  Sa 09:00-17:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01896 250111,,100023564754,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,HARLINGTON LIBRARY  PINKWELL LANE HAYES UB3 1PE,OSGB36,508620,178788,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo 09:00-17:30 ; Tu 09:00-19:00 ; We-Fr 09:00-17:30 ; Sa 09:30-16:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01895 250111,,10003001185,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,HAYES END LIBRARY  UXBRIDGE ROAD HAYES UB4 8JQ,OSGB36,508588,181945,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo 09:30-19:00 ; Tu-We 09:30-17:30 ; Th 09:30-19:00 ; Fr 09:30-17:30 ; Sa 09:30-16:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01896 250111,,100023417260,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,ICKENHAM LIBRARY  COMMUNITY CLOSE UXBRIDGE UB108RE,OSGB36,507986,186109,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo 09:00-17:30 ; Tu 09:00-19:00 ; We 09:00-17:30 ; Th 09:30-19:00 ; Fr 09:30-17:30 ; Sa 09:30-16:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01895 250111,,100023413527,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,NORTHWOOD HILLS LIBRARY  POTTER STREET NORTHWOOD HA6 1QQ,OSGB36,510332,190528,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo-We 09:00-18:00 ; Th 09:00-19:00 ;  Fr 09:00-17:30 ;  Sa 09:00-16:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01895 250111,,100023037608,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,NORTHWOOD LIBRARY (OAKLANDS GATE) 12 OAKLANDS GATE NORTHWOOD HA6 3AA,OSGB36,509165,191558,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo 09:00-18:00 ; Tu 09:00-19:00 ; We-Fr 09:00-18:00 ; Sa 09:00-16:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01895 250111,,100023564110,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,OAK FARM LIBRARY  LONG LANE UXBRIDGE UB109PB,OSGB36,507587,183647,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo 09:00-19:00 ; Tu-We 09:30-17:30 ; Th 09:00-19:00 ; Fr 09:00-17:30 ; Sa 09:00-16:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01895 250111,,100023414220,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience (1) Botwell Green Botwell Lane Hayes Middlesex,OSGB36,509788,179952,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Male,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01896 250111,,10022796878,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience (2) Botwell Green Botwell Lane Hayes Middlesex,OSGB36,509785,179954,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Female,Unisex,,,,,,FALSE,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01895 250111,,10090329844,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Adjacent 269 Coldharbour Lane Hayes Middlesex UB3 3EJ,OSGB36,510545,181042,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,Unisex,FALSE,,FALSE,FALSE,TRUE,FALSE,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01895 250111,,10022800060,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Adjacent 64 The Broadway Joel Street Northwood Middlesex,OSGB36,510230,190317,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24/07/2016,,contactcentre1@hillingdon.gov.uk,01895 250111,,10022796880,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Adjacent Churchfield Gardens High Street Ruislip Middlesex HA4 7BD,OSGB36,509203,187440,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,Unisex,FALSE,,FALSE,FALSE,TRUE,FALSE,,,0.10,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01895 250111,,10022800133,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Adjacent Northfield Court Station Road Uxbridge Middlesex UB8 3AA,OSGB36,505441,182347,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,Unisex,FALSE,,FALSE,FALSE,TRUE,FALSE,,,0.10,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01895 250111,,100023564806,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Adjacent Ruislip War Memorial Eastcote Road Ruislip Middlesex,OSGB36,509094,187645,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24/07/2016,,contactcentre1@hillingdon.gov.uk,01895 250111,,10022796891,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Adjacent To Bowling Green Hillingdon Court Park Court Drive Uxbridge Middlesex,OSGB36,507382,183942,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01895 250111,,10090329936,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/580,Public toilets,Public Convenience Adjacent Toddler Playground Barra Hall Park Church Walk Hayes,OSGB36,509325.87,181091.06,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01895 250111,,10090329542,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Adjacent West Drayton Library Station Road West Drayton Middlesex,OSGB36,506281,179649,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Female and male,Unisex,FALSE,,FALSE,FALSE,FALSE,FALSE,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,"Mon to Fri 9am to 6pm, Saturday 9am to 4pm and closed Sunday and Bank Holidays",,contactcentre1@hillingdon.gov.uk,01895 250111,,10022804537,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Connaught Recreation Ground Uxbridge Road Uxbridge Middlesex UB10 0NW,OSGB36,508124,182140,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,Unisex,FALSE,,FALSE,FALSE,TRUE,FALSE,,,0.10,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01895 250111,,10090331106,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Devonshire Lodge Public Car Park Abbotsbury Gardens Pinner Middlesex,OSGB36,511063,187908,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,Unisex,FALSE,,FALSE,FALSE,TRUE,FALSE,,,0.10,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24/07/2016,,contactcentre1@hillingdon.gov.uk,01895 250111,,10092984134,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/581,Public toilets,Public Convenience Fassnidge Park  Rockingham Parade Uxbridge,OSGB36,505104.41,184210.13,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01895 250111,,10092984136,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Intu Uxbridge The Chimes Shopping Centre High Street Uxbridge Middlesex UB8 1GA,OSGB36,505839,184038,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Female and male,Unisex,FALSE,,FALSE,FALSE,FALSE,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,,,contactcentre1@hillingdon.gov.uk,01896 250111,,10090331109,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Junction of Fairfield Road And High Street Yiewsley West Drayton Middlesex UB7 7BQ,OSGB36,506091,180491,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,Unisex,FALSE,,FALSE,FALSE,TRUE,FALSE,,,0.10,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01895 250111,,10022796896,,,,
