65	10033547226/1	Paddington Street Public Convenience	Operational	Public Convenience	528192	181794	19/06/2020
66	10033547233/1	Leicester Square Public Convenience	Operational	Public Convenience	529874	180750	19/06/2020
68	10033547263/1	Broad Sanctuary Public Convenience	Operational	Public Convenience	529939	179547	19/06/2020
69	10033547277/1	Wellington Place Public Convenience	Operational	Public Convenience	527004	182989	19/06/2020
70	10033547279/1	Barrett Street Public Convenience	Operational	Public Convenience	528441	181192	19/06/2020
71	10033547298/1	Broadwick Street Public Convenience	Operational	Public Convenience	529452	181055	19/06/2020
72	10033547447/1	Bayswater Road Public Convenience	Operational	Public Convenience	526674	180752	19/06/2020
73	10033548048/1	Hyde Park Corner Public Convenience	Operational	Public Convenience	528251	179853	19/06/2020
74	10033556736/1	Covent Garden Public Convenience	Operational	Public Convenience	530318	180841	19/06/2020
75	10033556737/1	Great Marlborough Street Public Convenience	Operational	Public Convenience	529195	181106	19/06/2020
76	10033556743/1	Green Park Public Convenience	Operational	Public Convenience	528981	180260	19/06/2020
77	10033556744/1	Kensington Road Public Convenience	Operational	Public Convenience	526150	179670	19/06/2020
78	10033556746/1	Jubilee Hall Public Convenience	Operational	Public Convenience	530350	180906	19/06/2020
79	10033556748/1	Marylebone Road Public Convenience	Operational	Public Convenience	528059	181994	19/06/2020
80	10033556750/1	Parliament Street Public Convenience	Operational	Public Convenience	530151	179686	19/06/2020
81	10033556751/1	Piccadilly Circus Public Convenience	Operational	Public Convenience	529535	180664	19/06/2020
83	10033556753/1	Queensway Public Convenience	Operational	Public Convenience	525785	181236	19/06/2020
84	10033556754/1	Regency Place Public Convenience (Horseferry Road)	Operational	Public Convenience	529752	178953	19/06/2020
85	10033556755/1	Strand/St Clement Danes Public Convenience	Operational	Public Convenience	531040	181039	19/06/2020
87	10033556761/1	Trafalgar Square/Cockspur Street Public Convenience	Operational	Public Convenience	530029	180393	19/06/2020
88	10033556762/1	Walterton Road Public Convenience	Operational	Public Convenience	524878	182144	19/06/2020
89	10033556764/1	Westminster Bridge Public Convenience	Operational	Public Convenience	530339	179744	19/06/2020
92	10033563785/19	Victoria Embankment Public Convenience	Operational	Public Convenience	530426	180366	19/06/2020
